Breed in List,Austin_breedname
Akita,Akita
American Bull Dog,American Bulldog
American Pit Bull Terrier,American Pit Bull Terrier
American or Bull Staffordshire Terrier,American Staffordshire Terrier
Briard,Briard
Borzoi Hounds,
Bull Mastiff,Bullmastiff
Bull Terrier,Bull Terrier
Cane Corso,Cane Corso
Chow,Chow Chow
Dalmatian,Dalmatian
Doberman Pinscher,Doberman Pinch
Dogo,Dogo Argentino
German Shepherd,German Shepherd
Great Dane,Great Dane
Great Pyrenees,Great Pyrenees
Husky,Siberian Husky
Husky,Alaskan Husky
Irish Wolf Hound,Irish Wolfhound
Komondor,
Malamute,Alaskan Malamute
Neapolitan Mastiff,Neapolitan Mastiff
Pit Bull,Pit Bull
Rottweiler,Rottweiler
Scottish Deerhound,
Spitz,Finnish Spitz
St. Bernard,Saint Bernard Rough Coat
St. Bernard,Saint Bernard Smooth Coat
Stafford Terrier (sic),Staffordshire
Presa Canarios,Presa Canario
Shar Pei,Chinese Sharpei
Toso Inu and Wolf-Dog Hybrid.,Wolf Hybrid